person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Suzana Diaconescu,suzanadiaconescu,suzanadiaconescu@acasa.ro,5771123271277,1949-05-23,"Intrarea Marcela Eftimie Nr. 828 Bl. 29  Sc. 30 Ap. 961, Rasnov Romacril, 582083",0751 165 707,04:c6:83:cc:7d:ce,102.186.155.46,RO91DTVG3995607035844018,2025-04-08 18:02:04,15256,463,621,1215024,267e2745-c16f-44b8-ad52-a03c187cbf05
Artemisa Georgescu,artemisageorgescu,artemisageorgescu@kappa.ro,7870106395608,1957-06-23,"Bulevardul Ioniță Nr. 122 Bl. 12  Sc. 63 Ap. 559, Ruscova, 254745",0769 820 203,82:da:13:14:b5:25,176.251.92.55,RO48VSAH7205784207558660,2025-04-08 18:02:04,3340,846,29,247846,12facda9-fc02-4f34-b101-966f62d298ae
Eliza Dumitrescu,elizadumitrescu,elizadumitrescu@zzup.ro,4640415468412,2024-06-19,"Drumul Georgescu, Campulung, 286742",0258 220 774,ba:fb:2c:c5:89:8a,129.170.182.104,RO55WLZI2887827635048217,2025-04-08 18:02:04,32587,111,154,1479652,3ac61676-044c-4afc-ad31-227de5c2f951
Pamfil Pușcașu,pamfilpușcașu,pamfilpușcașu@acasa.ro,1281105118971,1946-05-12,"Intrarea Iulia Nemeș Nr. 61 Bl. 96  Sc. 99 Ap. 838, Deta, 410234",0756 362 782,b4:17:68:16:fc:35,39.86.240.223,RO10MIDR7518973712902389,2025-04-08 18:02:04,23457,760,560,1515678,75473953-bb36-49b6-9331-ddfd8d906ef7
Valeriu Stan,valeriustan,valeriustan@gmail.com,3500202452260,1923-07-04,"Strada Norman Eftimie, Caracal, 613704",0780 624 146,b4:53:26:4f:c9:6d,165.156.45.237,RO96HSOF0077291794192269,2025-04-08 18:02:04,31274,618,317,782811,f3bd9722-31f2-4bf2-a4bc-066fea12fae1
Voicu Diaconu,voicudiaconu,voicudiaconu@zzup.ro,1240704359190,1961-08-08,"Intrarea Brândușa Ionescu Nr. 416, Lipova, 875770",0256 391 975,54:e2:63:b7:25:37,192.201.103.60,RO28ROGG2515200465979863,2025-04-08 18:02:04,9202,652,800,759653,aa4a3f98-ed73-4ffb-b595-d49a15731a3e
Ilarie Popa,ilariepopa,ilariepopa@kappa.ro,1351230042034,1923-09-17,"Drumul Robert Eftimie, Roman, 383426",0722 218 998,56:8e:77:8c:22:9d,34.0.238.125,RO41SPDC7033830292279169,2025-04-08 18:02:04,27961,989,742,983933,5ca4ba0f-cb3a-482e-9030-55fe112d5277
Ilona Eftimie,ilonaeftimie,ilonaeftimie@email.ro,3771027515593,1987-08-08,"Bulevardul Malvina Nistor, Insuratei, 747197",0747 475 723,8a:40:79:f0:c8:91,155.34.44.184,RO72LBMS8695909899085727,2025-04-08 18:02:04,28282,433,757,15930,ff1f2cba-ce9a-4d5d-a63c-3fe26d7fd6ac
Nicu Eftimie,nicueftimie,nicueftimie@email.ro,6160424029397,2018-09-06,"Bulevardul Dobre Nr. 14 Bl. 38  Sc. 21 Ap. 935, Fieni, 879206",0266 908 544,d4:b9:cc:30:ee:3e,168.1.56.105,RO70JAKL5970638219295233,2025-04-08 18:02:04,11128,778,728,979832,ef301c7f-304b-4cc7-8d41-5174204c0c2c
Iris Nistor,irisnistor,irisnistor@post.ro,1221215066097,1978-05-25,"Intrarea Ardelean Nr. 305 Bl. 12  Sc. 64 Ap. 569, Nasaud, 388377",0262 219 038,a6:68:d4:56:a2:93,111.227.58.255,RO69AAZE6765603223589102,2025-04-08 18:02:04,24330,533,487,1348769,cfbb21a2-aef8-4678-9b03-8932b672cc11
Cornelia Mocanu,corneliamocanu,corneliamocanu@141.ro,3110421446058,1993-09-04,"Bulevardul Gheorghiu Nr. 98, Valea Mare (Babeni), 846856",0770 346 489,66:7b:9a:f8:15:d3,51.27.72.195,RO30GFZP4793658984068531,2025-04-08 18:02:04,33116,102,14,1326336,0b02c80d-c5b2-44ba-8df8-9d2b5a0f28a9
Catinca Dumitrescu,catincadumitrescu,catincadumitrescu@acasa.ro,4191117106821,1946-07-16,"Soseaua Dima, Mangalia, 379644",0236 289 749,9a:06:50:44:27:bc,122.188.227.139,RO74AECR1472063527115341,2025-04-08 18:02:04,34842,963,528,59034,d7eb91ee-ff6b-4060-b800-106c494da6c2
Petronela Dinu,petroneladinu,petroneladinu@acasa.ro,8170704021052,1997-09-06,"Intrarea Marin Nr. 36 Bl. 48  Sc. 57 Ap. 944, Sebes, 435807",0725 921 771,e0:7c:53:f9:e2:63,15.120.22.224,RO13UOGT3294417801154642,2025-04-08 18:02:04,22029,73,61,1803128,f6516676-9bea-407d-9962-a49ff249fbbd
Domnica Dima,domnicadima,domnicadima@141.ro,1241125308072,1932-09-01,"Soseaua Mazilescu Nr. 15 Bl. 54  Sc. 90 Ap. 245, Cumpana, 250365",0720 454 985,64:ff:1e:a8:49:b7,202.2.169.137,RO05ZPBT9969092376298350,2025-04-08 18:02:04,10545,209,189,59351,b692f9e3-9d17-4f5f-8a7c-46c4c1c55b0f
Sabin Georgescu,sabingeorgescu,sabingeorgescu@zzup.ro,4070104177446,1963-03-20,"Bulevardul Niță Nr. 93, Horodnic de Sus, 206557",0786 560 677,54:8b:18:1a:38:bd,187.223.211.218,RO05MYHE1355692029977849,2025-04-08 18:02:04,14124,443,547,307641,d17e840a-656b-48f2-8817-104eec6f5301
Clara Niță,claraniță,claraniță@141.ro,5731114130700,1937-01-22,"Aleea Ioniță, Mioveni, 696494",0261 018 517,d8:cf:9b:c7:3e:c5,48.51.31.108,RO32FPSC8806913458377337,2025-04-08 18:02:04,1937,374,472,407329,67759f89-5f02-401d-a355-bb4dc323ffa5
Raluca Dumitrescu,ralucadumitrescu,ralucadumitrescu@email.ro,4551010352141,1921-05-02,"Intrarea Tabacu Nr. 590 Bl. 51  Sc. 80 Ap. 277, Videle, 440188",0749 235 944,d4:4d:87:57:1b:79,164.138.53.149,RO07QXTX5062349663880473,2025-04-08 18:02:04,14994,212,459,137713,6660e30f-2db9-44c7-826b-8c6465faaf68
Corneliu Nistor,corneliunistor,corneliunistor@acasa.ro,6481127515575,1979-04-14,"Aleea Dumitrescu, Barlad, 851241",0260 499 253,7e:0a:4a:96:46:f2,121.134.208.248,RO92LQWN0326724023611818,2025-04-08 18:02:04,26308,752,642,293029,fe5d0ce7-fe21-4afb-96b8-c01cce48554b
Manuela Barbu,manuelabarbu,manuelabarbu@gmail.com,4890125245825,1931-10-25,"Strada Marin Nr. 146, Campina, 745348",0763 353 123,6a:7f:02:fc:43:32,88.167.132.43,RO34XWKN8031167108310545,2025-04-08 18:02:04,17913,562,36,1310560,a40042ad-1942-4195-8d6d-0aaa39891d81
Sabina Popa,sabinapopa,sabinapopa@zzup.ro,3850815302371,1911-08-28,"Aleea Albu Nr. 70, Sighisoara, 464844",0756 216 515,a8:d4:7b:ae:32:83,152.196.254.166,RO97CEIJ1664863235813714,2025-04-08 18:02:04,31006,455,92,1410831,bf724ea2-7f62-44b3-a785-44356942d3b2
Ladislau Nistor,ladislaunistor,ladislaunistor@acasa.ro,3901212231814,1942-11-26,"Aleea Nistor, Salonta, 372206",0732 814 622,74:e3:2d:64:f8:f1,65.216.221.102,RO12UZNV8342458820276133,2025-04-08 18:02:04,16811,250,370,467753,e420b329-e2bb-4933-926c-2501b9ac891d
Decebal Stan,decebalstan,decebalstan@acasa.ro,6721107208456,1914-11-06,"Soseaua Violeta Nemeș Nr. 13, Giurgiu, 572248",0266 620 918,70:12:54:e4:3a:ce,59.63.8.138,RO87NAWY5307411319982379,2025-04-08 18:02:04,15830,539,4,1121673,3e71dfe5-2785-4b59-a096-24f3d54eedd5
Emilia Diaconescu,emiliadiaconescu,emiliadiaconescu@post.ro,3680115353497,1920-04-27,"Aleea Pop, Moinesti, 324108",0751 897 142,1a:c1:ce:71:dc:e1,138.90.140.66,RO97VAUW0006396576824404,2025-04-08 18:02:04,34666,62,684,166953,4256b1f9-0a6c-4b52-89de-9d7fedb8b190
Mădălin Dima,mădălindima,mădălindima@email.ro,1051209133905,1939-10-11,"Bulevardul Niță Nr. 136, Greci, 649924",0265 498 660,70:fa:d5:40:97:67,51.70.243.81,RO92QUNI9013766042144502,2025-04-08 18:02:04,4708,556,632,550116,5d682867-9c7e-42e5-a212-878d2c9c5739
Simina Voinea,siminavoinea,siminavoinea@gmail.com,7090115086228,1945-12-22,"Drumul Stănescu Nr. 410, Paunesti, 992928",0264 713 907,e2:b7:d5:98:43:3a,132.243.33.191,RO24USIX8306201531661653,2025-04-08 18:02:04,25749,731,613,100312,866f50d1-f7e4-48cd-a7c6-24241c07d2a9
Ionuț Dobre,ionuțdobre,ionuțdobre@acasa.ro,5130205062017,1948-06-17,"Drumul Niță, Teius, 795785",0244 730 344,60:cb:f0:f8:ac:21,153.53.202.0,RO76PJXD7036777435632058,2025-04-08 18:02:04,21808,443,712,1543480,7e0bb000-73e2-4ea0-9702-f64b6253a17d
Julieta Diaconu,julietadiaconu,julietadiaconu@141.ro,8030101425374,1932-05-21,"Bulevardul Barbu Nr. 102 Bl. 83  Sc. 94 Ap. 959, Greci, 934453",0235 335 127,32:07:8c:6f:dd:01,7.154.162.178,RO11FLGY9908290432291533,2025-04-08 18:02:04,33772,390,222,855895,eef11e1a-1281-44c2-826a-7255fcf2ea05
Raluca Gheorghiu,ralucagheorghiu,ralucagheorghiu@gmail.com,7000903430514,1941-09-12,"Bulevardul Tomescu, Ploiesti, 216025",0721 319 689,ac:c9:27:01:7d:ee,179.77.175.61,RO97HLEM2439110741295036,2025-04-08 18:02:04,2641,875,715,1693385,ddb45c31-539b-4692-a681-f11e765f74e3
Brândușa Ionescu,brândușaionescu,brândușaionescu@email.ro,7660521217204,1985-04-22,"Bulevardul Florea Nr. 358, Rosiori de Vede, 348393",0256 234 910,f8:e2:4f:2a:e3:9b,214.179.209.162,RO28HUAV3190973243368267,2025-04-08 18:02:04,10467,672,580,35235,86d8b625-5244-4aa5-a499-9845ab560feb
Agata Tabacu,agatatabacu,agatatabacu@kappa.ro,8640110110509,1919-07-28,"Bulevardul Loredana Ionescu Nr. 96 Bl. 65  Sc. 68 Ap. 205, Barbulesti, 751849",0251 876 607,e6:da:c8:f5:72:7f,190.241.62.80,RO68VGNM8994372330929414,2025-04-08 18:02:04,32522,748,92,1011199,73b83209-5cf2-4906-bf0b-61cb472f4116
Luana Dima,luanadima,luanadima@email.ro,5190323281252,2005-06-06,"Aleea Georgescu Nr. 328, Afumati, 590689",0254 028 313,44:b1:6c:96:45:1a,87.196.254.184,RO48GLSP2849405582136354,2025-04-08 18:02:04,8762,751,384,1492928,bf63f680-6c77-410b-b6d3-ed30b35fc117
Dina Nistor,dinanistor,dinanistor@141.ro,2690827085598,1989-12-11,"Bulevardul Voinea Nr. 48 Bl. 46  Sc. 32 Ap. 391, Campulung Moldovenesc, 660917",0258 282 851,06:04:cd:33:96:e2,202.213.64.95,RO63CXWU6984509191949533,2025-04-08 18:02:04,30495,444,283,1385302,00a99bf6-7dd5-493a-82f4-c55c9b7ab0f9
Tatiana Nemeș,tatiananemeș,tatiananemeș@zzup.ro,7270229234004,1919-06-17,"Drumul Cornel Tomescu Nr. 180, Jimbolia, 697303",0248 358 509,26:29:d5:d2:bb:37,32.242.162.187,RO86PQUJ4255232078360429,2025-04-08 18:02:04,17726,641,188,1625846,8e0afa34-7276-475a-abc9-41a51cc65275
Arian Suciu,ariansuciu,ariansuciu@acasa.ro,3180927277791,1949-01-01,"Soseaua Suciu Nr. 239 Bl. 93  Sc. 85 Ap. 707, Pechea, 505191",0235 134 316,16:60:19:87:66:0e,54.177.230.85,RO13JSOW6653847026408018,2025-04-08 18:02:04,11485,234,492,94057,18cbaee4-7074-4fbf-9233-cf44bc75bf01
Horațiu Dochioiu,horațiudochioiu,horațiudochioiu@gmail.com,6691210292101,1967-09-28,"Bulevardul Teodosia Georgescu, Falticeni, 702107",0766 162 926,84:b6:3b:c3:e9:cf,83.57.181.228,RO19UBDV1305885223825421,2025-04-08 18:02:04,26065,868,748,1944756,4b1b9fa2-bf98-498f-b16a-5d49510a8171
Luminița Aanei,luminițaaanei,luminițaaanei@email.ro,6110416356177,1981-03-07,"Strada Barbu Pușcașu Nr. 51, Poiana Mare, 724316",0733 953 122,7a:9d:37:aa:35:b0,26.98.196.136,RO20NRNG6562031719727012,2025-04-08 18:02:04,33348,666,629,158285,9d7fcccd-0e39-42bb-b750-8c5c71800d0a
Daniela Mocanu,danielamocanu,danielamocanu@email.ro,2100208419011,1942-08-22,"Drumul Popescu Nr. 227 Bl. 20  Sc. 64 Ap. 297, Drobeta-Turnu Severin, 911814",0232 295 648,ae:a3:03:4c:37:38,13.119.49.12,RO35XABP0186024440585237,2025-04-08 18:02:04,33598,214,747,1005471,568d0657-b6f1-408b-a5ee-04f9dae6ee7a
Anuța Oprea,anuțaoprea,anuțaoprea@kappa.ro,1041104074770,1983-07-26,"Drumul Stănescu Nr. 39 Bl. 46  Sc. 38 Ap. 458, Corabia, 901829",0769 394 218,16:e6:04:f2:47:ac,58.17.143.37,RO74DJSZ1970348717157457,2025-04-08 18:02:04,29506,392,7,1427690,2d547a6f-55fc-4a4b-bde1-ec6a7db02a75
Natașa Preda,natașapreda,natașapreda@email.ro,8140301399003,1925-04-08,"Drumul Popescu, Campulung Moldovenesc, 499838",0785 966 740,5e:4e:1d:f1:6e:b8,90.66.198.88,RO20AEBY3441286512165638,2025-04-08 18:02:04,22738,278,795,1366489,797675a0-657b-4eab-a242-bfe87f82c48f
Axinte Tudor,axintetudor,axintetudor@post.ro,8780622147456,1934-11-27,"Aleea Tomescu, Drobeta-Turnu Severin, 380612",0232 396 118,9a:1e:b7:17:09:bd,146.244.95.34,RO32MNNL1578537916887520,2025-04-08 18:02:04,155,225,584,1560565,3badfb06-88dc-4729-9d31-27c3ac0864d6
Henrieta Gheorghiu,henrietagheorghiu,henrietagheorghiu@acasa.ro,3170908276320,1952-10-25,"Intrarea Eugenia Mazilescu, Pancota, 974790",0263 354 116,00:d1:c3:fd:c2:8b,173.22.221.108,RO27FDLO8561811576987458,2025-04-08 18:02:04,23800,245,82,381753,bdfdedcc-9f24-4ac7-a728-93debc7cf160
Zamfir Popescu,zamfirpopescu,zamfirpopescu@acasa.ro,6750419378203,1929-08-02,"Intrarea Eftimie Nr. 907, Rasnov Romacril, 520072",0265 070 274,44:c3:b3:64:fa:c6,219.77.245.17,RO78TEIA3189458567450290,2025-04-08 18:02:04,11699,11,472,1959611,dc574f40-f5ab-459d-81c9-2002ade54175
Amza Eftimie,amzaeftimie,amzaeftimie@zzup.ro,8150424455328,1966-03-29,"Soseaua Tudor Nr. 788, Eforie Nord, 360268",0257 545 723,e2:5c:2d:ed:54:ad,64.130.87.42,RO44YCJV1489972279209582,2025-04-08 18:02:04,19514,740,203,195944,2115dd2c-ee04-43f4-bc15-bfaa342f2af6
Rafila Barbu,rafilabarbu,rafilabarbu@gmail.com,5140101384733,1960-04-02,"Aleea Albertina Pușcașu Nr. 217 Bl. 59  Sc. 82 Ap. 223, Berceni, 701849",0767 937 415,e2:74:fe:03:c8:e4,130.229.28.68,RO56ZPHJ6599398257035325,2025-04-08 18:02:04,20119,357,392,874065,62ba16d6-2572-43d5-9021-853ac774ef0d
Emanuil Nistor,emanuilnistor,emanuilnistor@email.ro,3710721449239,2012-03-17,"Soseaua Lidia Pușcașu Nr. 813, Oravita, 660756",0772 357 037,64:82:22:72:27:90,63.4.162.173,RO29IEPO5407275990075255,2025-04-08 18:02:04,4402,438,613,218908,1911dd5f-dc71-4ca2-b1c4-8cfbd35097bc
Elisabeta Albu,elisabetaalbu,elisabetaalbu@acasa.ro,5021215440061,2003-03-23,"Aleea Dochioiu Nr. 551, Otopeni, 746060",0252 237 421,78:68:10:0c:6d:e0,197.125.113.174,RO15XCSQ0864278805272883,2025-04-08 18:02:04,33327,833,16,1387612,a559c110-fc5d-4193-8c31-fe4bf23bdc9e
Cedrin Tomescu,cedrintomescu,cedrintomescu@zzup.ro,6920622242734,1935-11-11,"Bulevardul Eftimie Nr. 99 Bl. 24  Sc. 71 Ap. 247, Moinesti, 927066",0723 037 664,e0:10:17:ce:1c:35,22.218.221.98,RO26HUXC1490113832711666,2025-04-08 18:02:04,22748,815,370,1233973,e608156a-4fce-4b03-afc8-afaddf04f116
Edgar Ababei,edgarababei,edgarababei@141.ro,6331008241649,1994-07-02,"Strada Toma Nr. 357 Bl. 30  Sc. 23 Ap. 340, Caransebes, 708162",0772 784 638,a6:6d:bd:2d:27:22,77.117.151.93,RO88OFNM8879781331852831,2025-04-08 18:02:04,16604,236,703,443939,cfebb9d8-ee28-4127-a4af-428ce8560dbb
Octavian Stancu,octavianstancu,octavianstancu@kappa.ro,1680529326316,1951-04-10,"Bulevardul Mazilescu, Berceni, 587832",0735 359 949,e2:33:e3:99:e5:6a,147.232.117.255,RO90XZSG4700935115596244,2025-04-08 18:02:04,18654,621,545,1485007,cbc256d2-229f-44c0-8c91-381c74b5fbe8
Brândușa Marin,brândușamarin,brândușamarin@gmail.com,7660917385615,1932-04-11,"Soseaua Arsenie Stănescu Nr. 167 Bl. 39  Sc. 89 Ap. 767, Hunedoara, 856095",0763 088 040,2e:d2:11:20:37:c5,73.214.27.245,RO19IYRO5817871709007834,2025-04-08 18:02:04,34762,315,646,1293413,dc8efba7-ca87-42c3-a3ba-2f60073c6621
Julia Mocanu,juliamocanu,juliamocanu@acasa.ro,5370913404446,2001-01-11,"Drumul Victoria Cristea, Campulung, 620692",0757 067 017,86:52:da:ac:ad:e6,35.127.252.223,RO51EWOB3034766830783574,2025-04-08 18:02:04,14830,688,694,1199750,a07b895b-abc5-44c4-908a-a555fa175b9d
Ionel Oprea,ioneloprea,ioneloprea@email.ro,4421020233577,1974-09-17,"Bulevardul Șerban Florea Nr. 158 Bl. 95  Sc. 56 Ap. 312, Resita, 103334",0729 004 101,7e:c6:29:84:45:26,42.195.176.236,RO34OLXR6154040628631267,2025-04-08 18:02:04,14957,287,362,195220,b904d05b-e086-45e6-b661-d7dc9b6e2ec3
Iulia Nistor,iulianistor,iulianistor@acasa.ro,7110319019686,1933-12-11,"Drumul Aurelia Eftimie Nr. 76 Bl. 84  Sc. 53 Ap. 389, Eforie Nord, 213897",0786 240 141,70:d6:a6:38:33:06,93.189.108.117,RO68VJHW2744702433570530,2025-04-08 18:02:04,26712,737,191,1525068,3284c5e7-c855-4374-8115-e5cccaa2e0ff
Eva Ionescu,evaionescu,evaionescu@post.ro,2330305428974,1977-09-13,"Bulevardul Lia Albu Nr. 209, Targu Secuiesc, 410855",0772 682 559,80:99:db:85:85:90,87.213.197.17,RO83OACC3453903739062936,2025-04-08 18:02:04,31937,944,136,70389,c8fe3913-e3a3-4549-af8f-f33329c3c212
Damian Diaconescu,damiandiaconescu,damiandiaconescu@email.ro,6791017083527,2010-01-17,"Bulevardul Iurie Popescu Nr. 211, Buftea, 660870",0754 245 124,14:02:22:65:97:b3,141.107.159.55,RO74DGNB3236740842741146,2025-04-08 18:02:04,23929,739,486,843588,02d75ee8-2eec-4a9f-b4ef-7bc12a48e397
Agnos Nemeș,agnosnemeș,agnosnemeș@kappa.ro,5761127350614,1909-10-05,"Strada Mazilescu Nr. 718 Bl. 76  Sc. 55 Ap. 718, Jimbolia, 738713",0748 360 568,6e:b0:d6:a5:3a:66,53.62.29.57,RO43PUCT1810104615721540,2025-04-08 18:02:04,34007,767,7,1901959,81b19903-0eb1-4b22-b7fa-96f28571f81c
Alice Tabacu,alicetabacu,alicetabacu@141.ro,3150927054431,2003-06-23,"Bulevardul Salomea Popescu Nr. 725 Bl. 11  Sc. 49 Ap. 683, Cernavoda, 984473",0251 514 324,44:56:fb:9d:27:ad,52.203.51.157,RO13BJKJ9525507418949420,2025-04-08 18:02:04,12003,499,67,1780154,7b02571c-e129-43cd-bc2b-51b9d8062c27
Ariadna Ardelean,ariadnaardelean,ariadnaardelean@post.ro,6180331390926,1923-12-16,"Drumul Jana Suciu Nr. 68, Negresti-Oas, 928420",0746 164 739,a2:03:da:0d:9b:2a,115.245.166.181,RO15HKMA7877847155317151,2025-04-08 18:02:04,32812,587,245,1051886,92932822-f09b-4e00-84b9-d786f938e3bb
Sebastian Stănescu,sebastianstănescu,sebastianstănescu@email.ro,3220317430959,2013-11-23,"Drumul Iasmina Ene Nr. 638, Poiana Mare, 460982",0241 431 859,3e:e8:a1:b4:ee:e5,211.202.155.157,RO78FLGH4098615557890272,2025-04-08 18:02:04,4098,469,263,429462,b2ceb7ac-5e58-4f11-9848-0f0b2657aa84
Robert Popescu,robertpopescu,robertpopescu@141.ro,4130725257007,2020-11-17,"Strada Diaconu Nr. 90 Bl. 75  Sc. 38 Ap. 599, Targu Secuiesc, 738773",0785 689 741,ba:e8:8e:3d:68:f0,155.242.191.164,RO43CHOB8247205236410527,2025-04-08 18:02:04,32736,925,30,209721,e0e3aaa4-7297-4008-898c-90227ca595c1
Ivan Popescu,ivanpopescu,ivanpopescu@141.ro,4661123270641,1938-11-30,"Aleea Oprea Nr. 23, Slobozia, 375151",0740 891 773,c8:1f:de:8b:f3:0e,194.135.109.169,RO96XTMX0234290340460304,2025-04-08 18:02:04,7843,830,339,1334585,11953b26-701e-4dd7-9140-5023a73e86a9
Gabi Ene,gabiene,gabiene@kappa.ro,1920630353691,1975-01-21,"Bulevardul Nicoară Niță Nr. 40, Paunesti, 794722",0737 477 735,3a:53:d0:4f:d5:b4,170.96.95.249,RO74FRUB2600695794757903,2025-04-08 18:02:04,19164,161,589,1591259,d198d960-d1f4-4460-a3e1-0e5daffb0b90
Sever Diaconescu,severdiaconescu,severdiaconescu@zzup.ro,1440416300916,1925-08-31,"Drumul Nae Stancu, Radauti, 919725",0246 227 899,20:4a:2c:44:ea:00,207.123.180.166,RO15MPIP5062436361282113,2025-04-08 18:02:04,103,734,755,909343,b43282f8-3c64-4458-8ec1-9c25d1ff0a39
Codin Albu,codinalbu,codinalbu@kappa.ro,5610224457184,2000-03-29,"Soseaua Diaconu Nr. 56 Bl. 37  Sc. 19 Ap. 557, Miercurea-Ciuc, 605763",0765 141 405,d4:d2:db:67:53:48,85.60.128.155,RO63BMHM1272976458069426,2025-04-08 18:02:04,31946,268,49,754076,3ce5b7b2-f251-48e3-949d-12e172a180cb
Bernard Ene,bernardene,bernardene@zzup.ro,5320324410302,1970-07-06,"Strada Stănescu Nr. 21, Videle, 863795",0739 941 267,80:8b:3a:1b:26:d8,186.57.8.64,RO59AAAO9838119645847856,2025-04-08 18:02:04,12097,609,718,1535268,6ac06e99-4106-4b5d-8ae5-9fc1e6c23e9e
Sabrina Cristea,sabrinacristea,sabrinacristea@zzup.ro,5550829054289,1978-04-22,"Soseaua Eftimia Popescu Nr. 494, Jilava, 961502",0232 350 596,32:51:22:a8:39:50,54.10.194.220,RO61LQZP0329249873728225,2025-04-08 18:02:04,27528,685,11,1913850,05395505-d931-459c-a3f9-2d61e765c203
Silviana Toma,silvianatoma,silvianatoma@gmail.com,5600731336279,1956-12-27,"Bulevardul Barbu Nr. 635, Diosig, 555174",0756 865 696,1e:e4:0e:55:e3:98,116.54.84.200,RO72OBOD7655157450646157,2025-04-08 18:02:04,23053,92,42,1925957,e9bc081e-7648-4568-9b5a-dad0b56b0c4c
Margareta Pop,margaretapop,margaretapop@141.ro,4350325050122,1954-03-30,"Strada Mocanu Nr. 403, Ineu, 680678",0711 712 421,94:9f:a8:31:46:24,26.188.249.113,RO74EYRS5134872779007397,2025-04-08 18:02:04,32978,902,737,1973161,6a0cacac-598f-413f-a8d8-4eebe5498fd9
Ernest Dima,ernestdima,ernestdima@kappa.ro,1801110172707,1933-09-30,"Soseaua Nicu Ionescu Nr. 337 Bl. 38  Sc. 31 Ap. 694, Campulung, 447911",0739 811 034,9e:50:48:19:ab:39,168.66.83.226,RO76ZBPF0511363986545306,2025-04-08 18:02:04,17283,179,593,498630,beb0ec4c-48fa-4bf1-bfe0-26c55233fcac
